player_id,player_name,season,league,team,role,age,ip,g,gs,k_pct,bb_pct,hr_fb,era,fip,home_pa,road_pa,home_era,road_era,park_id,source,is_synthetic
"npb-name-Sugano, Tomoyuki","Sugano, Tomoyuki",2018,NPB,Yomiuri Giants,pitcher,27.0,202.0,28.0,0.0,0.2496878901373283,0.0474406991260923,0.0843373493975903,2.14,2.5702970297029704,400.5,400.5,2.14,2.14,G,npb-official,False
npb-51155136,"Azuma, Katsuki",2018,NPB,DeNA BayStars,pitcher,27.0,154.0,24.0,0.0,0.2476038338658147,0.0702875399361022,0.1,2.45,3.0025974025974027,313.0,313.0,2.45,2.45,DB,npb-official,False
"npb-name-Osera, Daichi","Osera, Daichi",2018,NPB,Hiroshima Carp,pitcher,27.0,182.0,27.0,0.0,0.218707015130674,0.0591471801925722,0.1538461538461538,2.62,3.6,363.5,363.5,2.62,2.62,C,npb-official,False
"npb-name-Garcia, Onelki","Garcia, Onelki",2018,NPB,Chunichi Dragons,pitcher,27.0,168.0,27.0,0.0,0.1856540084388185,0.1026722925457102,0.0902777777777777,2.99,3.8380952380952382,355.5,355.5,2.99,2.99,D,npb-official,False
"npb-name-Johnson, Kris","Johnson, Kris",2018,NPB,Hiroshima Carp,pitcher,27.0,144.0,24.0,0.0,0.1855500821018062,0.0853858784893267,0.0656934306569343,3.11,3.3430555555555554,304.5,304.5,3.11,3.11,C,npb-official,False
"npb-name-Messenger, Randy","Messenger, Randy",2018,NPB,Hanshin Tigers,pitcher,27.0,173.0,28.0,0.0,0.2046703296703296,0.0824175824175824,0.08125,3.63,3.360115606936416,364.0,364.0,3.63,3.63,T,npb-official,False
"npb-name-Yamaguchi, Shun","Yamaguchi, Shun",2018,NPB,Yomiuri Giants,pitcher,27.0,154.0,30.0,0.0,0.2236024844720497,0.0947204968944099,0.1417322834645669,3.68,3.9181818181818175,322.0,322.0,3.68,3.68,G,npb-official,False
"npb-name-Buchanan, David","Buchanan, David",2018,NPB,Yakult Swallows,pitcher,27.0,174.0,28.0,0.0,0.1264980026631158,0.0758988015978695,0.0913978494623656,4.03,4.191954022988506,375.5,375.5,4.03,4.03,S,npb-official,False
npb-91795114,"Kishi, Takayuki",2018,NPB,Rakuten Eagles,pitcher,27.0,159.0,23.0,0.0,0.2544,0.0512,0.1653543307086614,2.72,3.3641509433962264,312.5,312.5,2.72,2.72,E,npb-official,False
"npb-name-Kikuchi, Yusei","Kikuchi, Yusei",2018,NPB,Seibu Lions,pitcher,27.0,163.0,23.0,0.0,0.2339449541284403,0.0703363914373088,0.1290322580645161,3.08,3.326993865030675,327.0,327.0,3.08,3.08,L,npb-official,False
npb-51355135,"Uwasawa, Naoyuki",2018,NPB,Nippon-Ham Fighters,pitcher,27.0,165.0,25.0,0.0,0.2253731343283582,0.0582089552238805,0.1027397260273972,3.16,3.1424242424242426,335.0,335.0,3.16,3.16,F,npb-official,False
"npb-name-Martinez, Nick","Martinez, Nick",2018,NPB,Nippon-Ham Fighters,pitcher,27.0,161.0,25.0,0.0,0.1361639824304538,0.0629575402635432,0.0952380952380952,3.51,3.981987577639752,341.5,341.5,3.51,3.51,F,npb-official,False
npb-71275118,"Nishi, Yuki",2018,NPB,Orix Buffaloes,pitcher,27.0,162.0,25.0,0.0,0.1752577319587628,0.0559646539027982,0.0925925925925925,3.6,3.5012345679012347,339.5,339.5,3.6,3.6,Bs,npb-official,False
npb-51055137,"Norimoto, Takahiro",2018,NPB,Rakuten Eagles,pitcher,27.0,180.0,27.0,0.0,0.2463768115942029,0.069828722002635,0.1052631578947368,3.69,3.1722222222222225,379.5,379.5,3.69,3.69,E,npb-official,False
npb-31635110,"Wakui, Hideaki",2018,NPB,Chiba Lotte Marines,pitcher,27.0,150.0,22.0,0.0,0.1573926868044515,0.0747217806041335,0.1032258064516129,3.7,4.026666666666666,314.5,314.5,3.7,3.7,M,npb-official,False
"npb-name-Tawata, Shinsaburo","Tawata, Shinsaburo",2018,NPB,Seibu Lions,pitcher,27.0,172.0,26.0,0.0,0.1397260273972602,0.0643835616438356,0.0693641618497109,3.81,3.640697674418605,365.0,365.0,3.81,3.81,L,npb-official,False
npb-83185134,"Yamaoka, Taisuke",2018,NPB,Orix Buffaloes,pitcher,27.0,146.0,30.0,0.0,0.1954765751211631,0.0807754442649434,0.1532846715328467,3.95,4.319178082191781,309.5,309.5,3.95,3.95,Bs,npb-official,False
"npb-name-Ono, Yudai","Ono, Yudai",2019,NPB,Chunichi Dragons,pitcher,27.0,177.0,25.0,0.0,0.2241379310344827,0.0646551724137931,0.1363636363636363,2.58,3.388135593220339,348.0,348.0,2.58,2.58,D,npb-official,False
"npb-name-Johnson, Kris","Johnson, Kris",2019,NPB,Hiroshima Carp,pitcher,27.0,156.0,27.0,0.0,0.203076923076923,0.0923076923076923,0.0909090909090909,2.59,3.523076923076923,325.0,325.0,2.59,2.59,C,npb-official,False
"npb-name-Yamaguchi, Shun","Yamaguchi, Shun",2019,NPB,Yomiuri Giants,pitcher,27.0,170.0,26.0,0.0,0.2666666666666666,0.0865248226950354,0.0583941605839416,2.91,2.558823529411765,352.5,352.5,2.91,2.91,G,npb-official,False
"npb-name-Imanaga, Shota","Imanaga, Shota",2019,NPB,DeNA BayStars,pitcher,27.0,170.0,25.0,0.0,0.2719298245614035,0.0935672514619883,0.140625,2.91,3.276470588235294,342.0,342.0,2.91,2.91,DB,npb-official,False
npb-71275118,"Nishi, Yuki",2019,NPB,Hanshin Tigers,pitcher,27.0,172.0,26.0,0.0,0.1595441595441595,0.0541310541310541,0.0754716981132075,2.92,3.332558139534884,351.0,351.0,2.92,2.92,T,npb-official,False
npb-71175132,"Aoyagi, Koyo",2019,NPB,Hanshin Tigers,pitcher,27.0,143.0,25.0,0.0,0.1663893510815307,0.0748752079866888,0.096551724137931,3.14,3.855244755244756,300.5,300.5,3.14,3.14,T,npb-official,False
"npb-name-Osera, Daichi","Osera, Daichi",2019,NPB,Hiroshima Carp,pitcher,27.0,173.0,26.0,0.0,0.1910112359550561,0.0519662921348314,0.125,3.53,3.787861271676301,356.0,356.0,3.53,3.53,C,npb-official,False
npb-63165134,"Yanagi, Yuya",2019,NPB,Chunichi Dragons,pitcher,27.0,170.0,26.0,0.0,0.2076813655761024,0.0568990042674253,0.1272727272727272,3.53,3.658823529411765,351.5,351.5,3.53,3.53,D,npb-official,False
npb-11515137,"Ogawa, Yasuhiro",2019,NPB,Yakult Swallows,pitcher,27.0,159.0,26.0,0.0,0.1924198250728863,0.0524781341107871,0.1502890173410404,4.57,4.244654088050314,343.0,343.0,4.57,4.57,S,npb-official,False
"npb-name-Yamamoto, Yoshinobu","Yamamoto, Yoshinobu",2019,NPB,B,pitcher,27.0,143.0,20.0,0.0,0.2296564195298372,0.0650994575045208,0.0792079207920792,1.95,2.8062937062937063,276.5,276.5,1.95,1.95,B,npb-official,False
npb-51155130,"Arihara, Kohei",2019,NPB,Nippon-Ham Fighters,pitcher,27.0,164.0,24.0,0.0,0.2519561815336463,0.0625978090766823,0.1261261261261261,2.46,2.978048780487805,319.5,319.5,2.46,2.46,F,npb-official,False
"npb-name-Senga, Kodai","Senga, Kodai",2019,NPB,SoftBank Hawks,pitcher,27.0,180.0,26.0,0.0,0.3018617021276595,0.101063829787234,0.1417910447761194,2.79,3.2,376.0,376.0,2.79,2.79,H,npb-official,False
npb-01005136,"Takahashi, Rei",2019,NPB,SoftBank Hawks,pitcher,27.0,143.0,23.0,0.0,0.125,0.0839041095890411,0.087719298245614,3.34,4.016083916083916,292.0,292.0,3.34,3.34,H,npb-official,False
npb-83185134,"Yamaoka, Taisuke",2019,NPB,B,pitcher,27.0,170.0,26.0,0.0,0.2203147353361945,0.0658082975679542,0.1038961038961039,3.71,3.3058823529411767,349.5,349.5,3.71,3.71,B,npb-official,False
"npb-name-Mima, Manabu","Mima, Manabu",2019,NPB,Rakuten Eagles,pitcher,27.0,143.0,25.0,0.0,0.1866666666666666,0.04,0.1301369863013698,4.01,3.7643356643356647,300.0,300.0,4.01,4.01,E,npb-official,False
npb-11515133,"Ohno, Yudai",2020,NPB,Chunichi Dragons,pitcher,27.0,148.0,20.0,0.0,0.2647584973166368,0.0447227191413237,0.1226415094339622,1.82,2.7081081081081084,279.5,279.5,1.82,1.82,D,npb-official,False
npb-53155151,"Morishita, Masato",2020,NPB,Hiroshima Carp,pitcher,27.0,122.0,18.0,0.0,0.2556701030927835,0.0659793814432989,0.0588235294117647,1.91,2.49344262295082,242.5,242.5,1.91,1.91,C,npb-official,False
"npb-name-Sugano, Tomoyuki","Sugano, Tomoyuki",2020,NPB,Yomiuri Giants,pitcher,27.0,137.0,20.0,0.0,0.2462406015037594,0.0469924812030075,0.0824742268041237,1.97,2.494160583941606,266.0,266.0,1.97,1.97,G,npb-official,False
npb-71275118,"Nishi, Yuki",2020,NPB,Hanshin Tigers,pitcher,27.0,147.0,21.0,0.0,0.197594501718213,0.0515463917525773,0.1293103448275862,2.26,3.4333333333333336,291.0,291.0,2.26,2.26,T,npb-official,False
"npb-name-Kuri, Aren","Kuri, Aren",2020,NPB,Hiroshima Carp,pitcher,27.0,130.0,20.0,0.0,0.1948529411764706,0.0808823529411764,0.0948275862068965,2.96,3.5846153846153848,272.0,272.0,2.96,2.96,C,npb-official,False
npb-71175132,"Aoyagi, Koyo",2020,NPB,Hanshin Tigers,pitcher,27.0,120.0,21.0,0.0,0.1725490196078431,0.092156862745098,0.036036036036036,3.36,3.166666666666667,255.0,255.0,3.36,3.36,T,npb-official,False
"npb-name-Senga, Koudai","Senga, Koudai",2020,NPB,SoftBank Hawks,pitcher,27.0,121.0,18.0,0.0,0.2962226640159046,0.1133200795228628,0.0444444444444444,2.16,2.4801652892561985,251.5,251.5,2.16,2.16,H,npb-official,False
"npb-name-Yamamoto, Yoshinobu","Yamamoto, Yoshinobu",2020,NPB,B,pitcher,27.0,126.0,18.0,0.0,0.3016194331983806,0.0748987854251012,0.073170731707317,2.2,2.234920634920635,247.0,247.0,2.2,2.2,B,npb-official,False
npb-51155130,"Arihara, Kohei",2020,NPB,Nippon-Ham Fighters,pitcher,27.0,132.0,20.0,0.0,0.1937842778793418,0.0548446069469835,0.088,3.46,3.2590909090909093,273.5,273.5,3.46,3.46,F,npb-official,False
npb-31635110,"Wakui, Hideaki",2020,NPB,Rakuten Eagles,pitcher,27.0,130.0,20.0,0.0,0.2079395085066162,0.0737240075614366,0.1545454545454545,3.6,3.9846153846153847,264.5,264.5,3.6,3.6,E,npb-official,False
npb-71075130,"Takahashi, Kona",2020,NPB,Seibu Lions,pitcher,27.0,120.0,20.0,0.0,0.1996007984031936,0.0878243512974051,0.09,3.74,3.5083333333333333,250.5,250.5,3.74,3.74,L,npb-official,False
"npb-name-Mima, Manabu","Mima, Manabu",2020,NPB,Chiba Lotte Marines,pitcher,27.0,123.0,19.0,0.0,0.1702127659574468,0.0483558994197292,0.0692307692307692,3.95,3.230081300813008,258.5,258.5,3.95,3.95,M,npb-official,False
npb-41045136,"Tajima, Daiki",2020,NPB,B,pitcher,27.0,122.0,20.0,0.0,0.173828125,0.08203125,0.1372549019607843,4.05,4.165573770491804,256.0,256.0,4.05,4.05,B,npb-official,False
"npb-name-Ishikawa, Ayumu","Ishikawa, Ayumu",2020,NPB,Chiba Lotte Marines,pitcher,27.0,133.0,21.0,0.0,0.1387387387387387,0.0468468468468468,0.1376811594202898,4.25,4.385714285714286,277.5,277.5,4.25,4.25,M,npb-official,False
npb-63165134,"Yanagi, Yuya",2021,NPB,Chunichi Dragons,pitcher,27.0,172.0,26.0,0.0,0.2485207100591716,0.0621301775147929,0.0827067669172932,2.2,2.6930232558139537,338.0,338.0,2.2,2.2,D,npb-official,False
